epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4067,2.64695,4.55217,2.06773,0.00401,0.60169,0.00397,0.00153,1.9434,4.08868,1.69107,0.00028,0.00028,0.00028
2,7.62917,2.11437,2.96191,1.59903,0.00548,0.82203,0.00812,0.00292,1.81605,3.85112,1.59381,0.000578852,0.000578852,0.000578852
3,10.7186,1.9258,2.48939,1.50972,0.0009,0.13559,0.08393,0.04427,1.7901,3.63966,1.52783,0.000876515,0.000876515,0.000876515
4,13.8512,1.83557,2.17415,1.47718,0.00379,0.5678,0.45369,0.20047,1.71087,3.34913,1.46468,0.00117299,0.00117299,0.00117299
5,17.0672,1.78199,2.0488,1.45331,0.00537,0.80508,0.12095,0.04947,1.73498,3.33446,1.50905,0.00146828,0.00146828,0.00146828
6,20.1614,1.71763,1.85304,1.43443,0.87833,0.18361,0.3806,0.15551,2.19071,3.33077,1.71007,0.00176238,0.00176238,0.00176238
7,23.3181,1.78129,1.8785,1.45891,0.7988,0.23556,0.31389,0.09765,2.66158,3.56883,2.00123,0.00197624,0.00197624,0.00197624
8,26.4202,1.76048,1.84272,1.43472,0.63762,0.55085,0.56526,0.24595,1.95639,2.54726,1.76399,0.00197228,0.00197228,0.00197228
9,29.4892,1.74896,1.69665,1.44257,0.6467,0.72034,0.74518,0.33072,1.79159,2.00612,1.60671,0.00196832,0.00196832,0.00196832
10,32.5535,1.67031,1.53046,1.36772,0.61961,0.66949,0.71927,0.35394,1.58581,1.65724,1.50224,0.00196436,0.00196436,0.00196436
11,35.7531,1.68203,1.47234,1.44674,0.79241,0.77966,0.8848,0.51245,1.47543,1.27248,1.43808,0.0019604,0.0019604,0.0019604
12,38.8955,1.70633,1.53326,1.3932,0.54555,0.69492,0.6685,0.2733,1.74314,1.8245,1.561,0.00195644,0.00195644,0.00195644
13,42.0092,1.62569,1.38645,1.38345,0.69558,0.87288,0.84767,0.415,1.63892,1.37232,1.5331,0.00195248,0.00195248,0.00195248
14,45.0512,1.60001,1.3402,1.35693,0.83636,0.85593,0.89812,0.50039,1.40182,1.18469,1.31233,0.00194852,0.00194852,0.00194852
15,48.1011,1.57603,1.33934,1.33636,0.69529,0.69492,0.76225,0.40952,1.42498,1.5122,1.39418,0.00194456,0.00194456,0.00194456
16,51.2417,1.51183,1.29129,1.31,0.79505,0.80508,0.85561,0.4697,1.39962,1.17552,1.40266,0.0019406,0.0019406,0.0019406
17,54.1958,1.5239,1.22139,1.32008,0.86415,0.89831,0.92965,0.53765,1.37153,1.08808,1.37518,0.00193664,0.00193664,0.00193664
18,57.3588,1.51852,1.23643,1.3368,0.82345,0.86441,0.9192,0.48323,1.50397,1.11576,1.44426,0.00193268,0.00193268,0.00193268
19,60.3462,1.52977,1.16781,1.30791,0.80229,0.9322,0.91259,0.52442,1.38874,1.04097,1.34716,0.00192872,0.00192872,0.00192872
20,63.3757,1.47205,1.16143,1.28853,0.86975,0.87288,0.94519,0.52383,1.40189,1.09421,1.43924,0.00192476,0.00192476,0.00192476
21,66.3442,1.48069,1.12169,1.30399,0.85093,0.87074,0.93101,0.5591,1.24731,1.14439,1.27429,0.0019208,0.0019208,0.0019208
22,69.397,1.43185,1.0729,1.26862,0.84689,0.88136,0.93661,0.556,1.35984,1.05438,1.29215,0.00191684,0.00191684,0.00191684
23,72.4797,1.43296,1.07803,1.25038,0.91358,0.94068,0.96515,0.55453,1.33706,0.99214,1.31678,0.00191288,0.00191288,0.00191288
24,75.4742,1.40237,1.02661,1.23751,0.88701,0.86491,0.95466,0.55921,1.33582,0.95042,1.25523,0.00190892,0.00190892,0.00190892
25,78.547,1.44852,1.07336,1.288,0.89122,0.90678,0.96492,0.52933,1.33538,1.07735,1.37741,0.00190496,0.00190496,0.00190496
26,81.6793,1.35343,1.01128,1.23461,0.87406,0.9322,0.94811,0.58422,1.23548,0.94274,1.27013,0.001901,0.001901,0.001901
27,84.7238,1.33972,0.94429,1.20677,0.85134,0.92212,0.94615,0.58336,1.27765,0.91655,1.28773,0.00189704,0.00189704,0.00189704
28,87.8195,1.32077,0.94544,1.21772,0.84271,0.86269,0.91448,0.5574,1.28119,0.94837,1.27345,0.00189308,0.00189308,0.00189308
29,90.9576,1.36529,0.92827,1.25139,0.86677,0.88219,0.94359,0.52475,1.38355,0.97768,1.37166,0.00188912,0.00188912,0.00188912
30,94.0027,1.37375,0.93401,1.24492,0.90667,0.90678,0.95368,0.54089,1.33146,0.93234,1.33619,0.00188516,0.00188516,0.00188516
