epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23471,2.60729,4.53663,2.03455,0.00435,0.65254,0.00489,0.00167,2.07137,4.07523,1.67058,0.00028,0.00028,0.00028
2,7.20776,2.1512,3.33937,1.60983,0.00548,0.82203,0.01033,0.00376,1.70326,4.00197,1.58577,0.000578086,0.000578086,0.000578086
3,10.0792,1.95423,2.59385,1.57231,0.00638,0.95763,0.01617,0.00571,1.73289,3.6933,1.59724,0.000874192,0.000874192,0.000874192
4,12.9692,1.84428,2.3007,1.53475,0.0061,0.91525,0.02881,0.00996,1.86516,3.43008,1.7429,0.00116832,0.00116832,0.00116832
5,15.9231,1.87297,2.12258,1.58081,0.10694,0.14407,0.07404,0.02867,1.74243,3.69982,1.64018,0.00146046,0.00146046,0.00146046
6,18.8399,1.82361,1.86026,1.48325,0.23051,0.24576,0.18963,0.07092,1.75748,2.93278,1.58637,0.00175063,0.00175063,0.00175063
7,21.7384,1.79184,1.83569,1.49717,0.31546,0.52542,0.27201,0.11607,1.74288,2.46733,1.66112,0.0019604,0.0019604,0.0019604
8,24.5332,1.79802,1.8169,1.48705,0.28987,0.55085,0.4368,0.14573,1.92838,2.15597,1.77528,0.0019538,0.0019538,0.0019538
9,27.3048,1.74775,1.65077,1.42933,0.67352,0.69933,0.78053,0.36175,1.70936,1.62118,1.61201,0.0019472,0.0019472,0.0019472
10,30.1298,1.70101,1.62814,1.49479,0.76792,0.77119,0.84826,0.43922,1.51783,1.55372,1.50583,0.0019406,0.0019406,0.0019406
11,33.0227,1.63475,1.49901,1.40775,0.57156,0.78814,0.71871,0.36148,1.47557,2.09656,1.52883,0.001934,0.001934,0.001934
12,35.7074,1.56319,1.45265,1.37983,0.69994,0.81053,0.81036,0.39488,1.48276,1.61775,1.5046,0.0019274,0.0019274,0.0019274
13,38.4656,1.60859,1.39941,1.39328,0.71127,0.81356,0.81718,0.43992,1.41938,1.53864,1.40805,0.0019208,0.0019208,0.0019208
14,41.2003,1.54376,1.36673,1.3567,0.87553,0.90678,0.95426,0.52928,1.40613,1.1807,1.41351,0.0019142,0.0019142,0.0019142
15,44.151,1.56758,1.31184,1.37742,0.91268,0.88575,0.94609,0.52591,1.41633,1.06372,1.43191,0.0019076,0.0019076,0.0019076
16,46.8401,1.50526,1.25387,1.34855,0.75852,0.73729,0.85538,0.41638,1.52498,1.20347,1.50507,0.001901,0.001901,0.001901
17,49.5604,1.57142,1.26942,1.40437,0.83188,0.78814,0.90708,0.49085,1.47747,1.12038,1.49844,0.0018944,0.0018944,0.0018944
18,52.2445,1.61241,1.23372,1.37362,0.81988,0.84868,0.92018,0.49602,1.43025,1.05125,1.44518,0.0018878,0.0018878,0.0018878
19,55.0899,1.54596,1.15908,1.36096,0.89731,0.88983,0.94418,0.52827,1.40762,1.02609,1.43801,0.0018812,0.0018812,0.0018812
20,57.8985,1.47267,1.1616,1.33153,0.80292,0.88983,0.91859,0.47467,1.53636,1.05118,1.53428,0.0018746,0.0018746,0.0018746
21,60.6438,1.44104,1.08151,1.29451,0.80615,0.94068,0.9406,0.50952,1.43896,1.29331,1.46116,0.001868,0.001868,0.001868
22,63.407,1.38131,1.05096,1.2904,0.82704,0.89831,0.91755,0.51988,1.33214,1.14241,1.37304,0.0018614,0.0018614,0.0018614
23,66.1903,1.44408,1.0828,1.3246,0.89598,0.87596,0.95583,0.56812,1.27427,0.96683,1.35121,0.0018548,0.0018548,0.0018548
