epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
48,43806.4,0.56116,0.5,0.97701,2.57824,0.000603259,0.000603259,0.000603259
49,44679.2,0.54065,0.47701,0.97701,2.58525,0.000600902,0.000600902,0.000600902
50,45545.9,0.54234,0.48276,0.97701,2.58555,0.000598546,0.000598546,0.000598546
51,46413.8,0.54779,0.48851,0.97414,2.59203,0.00059619,0.00059619,0.00059619
52,47282,0.52353,0.48851,0.97701,2.58369,0.000593834,0.000593834,0.000593834
53,48148.8,0.51712,0.48563,0.97126,2.59352,0.000591478,0.000591478,0.000591478
54,49014.7,0.52123,0.48563,0.97701,2.59239,0.000589121,0.000589121,0.000589121
55,49882.8,0.53198,0.50287,0.97701,2.59628,0.000586765,0.000586765,0.000586765
56,50750.8,0.5208,0.47126,0.97701,2.60427,0.000584409,0.000584409,0.000584409
57,51620.1,0.5209,0.46839,0.97701,2.59479,0.000582053,0.000582053,0.000582053
58,52488.9,0.518,0.45977,0.97701,2.60312,0.000579697,0.000579697,0.000579697
59,53385.9,0.53612,0.45115,0.96839,2.59752,0.00057734,0.00057734,0.00057734
60,54267.7,0.52384,0.46839,0.97126,2.60557,0.000574984,0.000574984,0.000574984
61,55151.9,0.50815,0.44828,0.97414,2.60927,0.000572628,0.000572628,0.000572628
62,56036.1,0.49667,0.43678,0.96552,2.61222,0.000570272,0.000570272,0.000570272
63,56917.9,0.50003,0.44828,0.96839,2.6169,0.000567916,0.000567916,0.000567916
64,57800.9,0.50752,0.4569,0.96839,2.61034,0.000565559,0.000565559,0.000565559
65,58682.8,0.49925,0.46552,0.96839,2.603,0.000563203,0.000563203,0.000563203
66,59564.7,0.5148,0.46264,0.97989,2.60599,0.000560847,0.000560847,0.000560847
67,60446,0.52887,0.4569,0.97701,2.60942,0.000558491,0.000558491,0.000558491
68,61327,0.48311,0.45402,0.97126,2.60054,0.000556135,0.000556135,0.000556135
69,62207.2,0.47665,0.4569,0.97126,2.60549,0.000553778,0.000553778,0.000553778
70,63084.7,0.48392,0.47126,0.97989,2.6084,0.000551422,0.000551422,0.000551422
71,63965.5,0.4948,0.44828,0.97414,2.60547,0.000549066,0.000549066,0.000549066
72,64839.4,0.48755,0.4569,0.97126,2.59886,0.00054671,0.00054671,0.00054671
73,65715.9,0.4728,0.47126,0.97701,2.60761,0.000544354,0.000544354,0.000544354
74,66592,0.4826,0.46552,0.97126,2.60977,0.000541997,0.000541997,0.000541997
75,67473.6,0.49771,0.46264,0.97701,2.59735,0.000539641,0.000539641,0.000539641
76,68355,0.50375,0.46264,0.97701,2.60495,0.000537285,0.000537285,0.000537285
77,69232.1,0.48707,0.4569,0.98276,2.60926,0.000534929,0.000534929,0.000534929
78,70107.2,0.49694,0.4569,0.97126,2.60843,0.000532573,0.000532573,0.000532573
79,70975.9,0.47903,0.45402,0.97989,2.60993,0.000530216,0.000530216,0.000530216
80,71843.9,0.48219,0.47126,0.97701,2.60844,0.00052786,0.00052786,0.00052786
81,72708.8,0.4904,0.45115,0.97414,2.60249,0.000525504,0.000525504,0.000525504
82,73583.2,0.45967,0.43391,0.97126,2.60974,0.000523148,0.000523148,0.000523148
83,74452.3,0.47231,0.4569,0.97126,2.60844,0.000520792,0.000520792,0.000520792
84,75326,0.47025,0.46839,0.96552,2.60952,0.000518435,0.000518435,0.000518435
85,76194,0.47123,0.45977,0.97414,2.61266,0.000516079,0.000516079,0.000516079
86,77065.1,0.4647,0.45115,0.97989,2.60577,0.000513723,0.000513723,0.000513723
87,77935.9,0.46582,0.46264,0.97126,2.61037,0.000511367,0.000511367,0.000511367
88,78805.3,0.47524,0.44828,0.98563,2.60352,0.000509011,0.000509011,0.000509011
89,79673.1,0.46462,0.46264,0.98563,2.60028,0.000506654,0.000506654,0.000506654
90,80544,0.48216,0.47126,0.97989,2.59859,0.000504298,0.000504298,0.000504298
91,81418,0.47443,0.46552,0.97701,2.59743,0.000501942,0.000501942,0.000501942
92,82297,0.45498,0.4454,0.98276,2.60299,0.000499586,0.000499586,0.000499586
93,83179,0.47384,0.46264,0.97126,2.60635,0.00049723,0.00049723,0.00049723
94,84058.8,0.46514,0.47126,0.98276,2.60799,0.000494873,0.000494873,0.000494873
95,84934.3,0.45489,0.46552,0.97989,2.60616,0.000492517,0.000492517,0.000492517
96,85809.2,0.47389,0.46264,0.96839,2.60905,0.000490161,0.000490161,0.000490161
97,86686.4,0.44831,0.4569,0.97701,2.61617,0.000487805,0.000487805,0.000487805
98,87566.1,0.4595,0.46839,0.97414,2.60888,0.000485449,0.000485449,0.000485449
99,88446.1,0.45395,0.46552,0.97126,2.60365,0.000483092,0.000483092,0.000483092
100,89316,0.46895,0.46839,0.97701,2.60846,0.000480736,0.000480736,0.000480736
101,90190.6,0.43972,0.44253,0.97414,2.61763,0.00047838,0.00047838,0.00047838
102,91065,0.44402,0.44253,0.97701,2.62109,0.000476024,0.000476024,0.000476024
103,91942,0.44102,0.44828,0.98276,2.60992,0.000473668,0.000473668,0.000473668
104,92821,0.45457,0.45402,0.96839,2.61422,0.000471311,0.000471311,0.000471311
105,93694,0.44035,0.45977,0.96839,2.60802,0.000468955,0.000468955,0.000468955
