epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1030.58,2.51272,0.48276,0.86207,2.79601,0.000235167,0.000235167,0.000235167
2,2105.89,1.6203,0.51437,0.97989,2.68561,0.000471605,0.000471605,0.000471605
3,3180.67,1.30462,0.54023,0.96552,2.6494,0.000706473,0.000706473,0.000706473
4,4276.99,1.15704,0.54885,0.97126,2.60981,0.000706931,0.000706931,0.000706931
5,5348.98,1.07755,0.56322,0.97701,2.59288,0.000704575,0.000704575,0.000704575
6,6426.52,0.99309,0.53448,0.96552,2.59986,0.000702219,0.000702219,0.000702219
7,7523.38,0.8994,0.52299,0.97701,2.60825,0.000699863,0.000699863,0.000699863
8,8619.83,0.87742,0.5546,0.96552,2.57925,0.000697507,0.000697507,0.000697507
9,9643.01,0.86146,0.5546,0.97126,2.57718,0.00069515,0.00069515,0.00069515
10,10526.7,0.87296,0.54023,0.97414,2.57991,0.000692794,0.000692794,0.000692794
11,11412.8,0.81784,0.52299,0.97126,2.58755,0.000690438,0.000690438,0.000690438
12,12306.8,0.7821,0.52299,0.96552,2.59667,0.000688082,0.000688082,0.000688082
13,13217.4,0.77638,0.53161,0.96839,2.58269,0.000685726,0.000685726,0.000685726
14,14098.6,0.74815,0.52011,0.97414,2.59102,0.000683369,0.000683369,0.000683369
15,14981.6,0.75988,0.53161,0.97414,2.5873,0.000681013,0.000681013,0.000681013
16,15863.9,0.72202,0.49713,0.97701,2.58294,0.000678657,0.000678657,0.000678657
17,16742.3,0.72703,0.49138,0.97989,2.59756,0.000676301,0.000676301,0.000676301
18,17623.1,0.70469,0.49713,0.97989,2.57839,0.000673945,0.000673945,0.000673945
19,18503,0.67369,0.52299,0.97989,2.58089,0.000671588,0.000671588,0.000671588
20,19382.5,0.686,0.5,0.98276,2.5826,0.000669232,0.000669232,0.000669232
21,20259.3,0.68315,0.49425,0.97126,2.596,0.000666876,0.000666876,0.000666876
22,21136.3,0.6741,0.52299,0.97414,2.57915,0.00066452,0.00066452,0.00066452
23,22012.1,0.66603,0.5,0.97126,2.58264,0.000662164,0.000662164,0.000662164
24,22886.4,0.65773,0.54885,0.97701,2.56841,0.000659807,0.000659807,0.000659807
25,23755.4,0.67027,0.52011,0.98276,2.5661,0.000657451,0.000657451,0.000657451
26,24627,0.63293,0.47701,0.97701,2.59142,0.000655095,0.000655095,0.000655095
27,25496.9,0.63435,0.49138,0.97414,2.58239,0.000652739,0.000652739,0.000652739
28,26371,0.62237,0.49425,0.98276,2.58776,0.000650383,0.000650383,0.000650383
29,27242.8,0.60369,0.49425,0.97126,2.57661,0.000648026,0.000648026,0.000648026
30,28113.1,0.57954,0.50287,0.97989,2.57841,0.00064567,0.00064567,0.00064567
31,28982.8,0.6259,0.48563,0.97989,2.59887,0.000643314,0.000643314,0.000643314
32,29852.7,0.62685,0.52874,0.97701,2.58899,0.000640958,0.000640958,0.000640958
33,30724.7,0.58724,0.5,0.98276,2.58054,0.000638602,0.000638602,0.000638602
34,31595.4,0.60849,0.50287,0.97989,2.58211,0.000636245,0.000636245,0.000636245
35,32468.1,0.60461,0.48563,0.97126,2.59643,0.000633889,0.000633889,0.000633889
36,33336.9,0.57787,0.47126,0.97701,2.58885,0.000631533,0.000631533,0.000631533
37,34207,0.56808,0.52299,0.97701,2.58226,0.000629177,0.000629177,0.000629177
38,35079,0.57504,0.49138,0.97701,2.59516,0.000626821,0.000626821,0.000626821
39,35951.9,0.57425,0.49138,0.98276,2.58742,0.000624464,0.000624464,0.000624464
40,36823.3,0.57433,0.49425,0.97701,2.58829,0.000622108,0.000622108,0.000622108
41,37698.6,0.56917,0.48276,0.96839,2.58838,0.000619752,0.000619752,0.000619752
42,38573.5,0.55256,0.48276,0.97701,2.59149,0.000617396,0.000617396,0.000617396
43,39445.8,0.54125,0.48563,0.98276,2.58227,0.00061504,0.00061504,0.00061504
44,40318.7,0.54146,0.48276,0.97701,2.5864,0.000612683,0.000612683,0.000612683
45,41196.3,0.54712,0.50287,0.97414,2.58041,0.000610327,0.000610327,0.000610327
46,42065.7,0.54837,0.49425,0.98563,2.57774,0.000607971,0.000607971,0.000607971
47,42935.2,0.53525,0.47414,0.97414,2.5799,0.000605615,0.000605615,0.000605615
