epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,116224,0.47025,0.46835,0.96994,2.62738,0.007525,0.007525,0.007525
77,117746,0.45074,0.46677,0.9731,2.61962,0.007492,0.007492,0.007492
78,119281,0.42664,0.46044,0.96519,2.63048,0.007459,0.007459,0.007459
79,120806,0.43269,0.45728,0.97468,2.6329,0.007426,0.007426,0.007426
80,122340,0.44188,0.45886,0.96835,2.63416,0.007393,0.007393,0.007393
81,123862,0.44317,0.46519,0.96994,2.62563,0.00736,0.00736,0.00736
82,125392,0.44656,0.44778,0.97627,2.6408,0.007327,0.007327,0.007327
83,126926,0.4296,0.46044,0.97627,2.6346,0.007294,0.007294,0.007294
84,128459,0.41683,0.44937,0.9731,2.63191,0.007261,0.007261,0.007261
85,129979,0.43607,0.44778,0.96519,2.63795,0.007228,0.007228,0.007228
86,131506,0.43535,0.44304,0.97468,2.64672,0.007195,0.007195,0.007195
87,133040,0.42416,0.45095,0.96677,2.63924,0.007162,0.007162,0.007162
88,134576,0.42696,0.43987,0.96519,2.64623,0.007129,0.007129,0.007129
89,136093,0.42118,0.44146,0.96835,2.6459,0.007096,0.007096,0.007096
90,137626,0.42391,0.43196,0.96203,2.65933,0.007063,0.007063,0.007063
91,139161,0.43301,0.44937,0.97468,2.63847,0.00703,0.00703,0.00703
92,140699,0.41497,0.45886,0.97627,2.63575,0.006997,0.006997,0.006997
93,142225,0.41136,0.4557,0.97152,2.63461,0.006964,0.006964,0.006964
94,143761,0.40498,0.44146,0.97627,2.6477,0.006931,0.006931,0.006931
95,145291,0.40689,0.4557,0.9731,2.64444,0.006898,0.006898,0.006898
96,146825,0.40521,0.4462,0.96835,2.6478,0.006865,0.006865,0.006865
97,148347,0.45048,0.43354,0.96519,2.648,0.006832,0.006832,0.006832
98,149878,0.44358,0.43987,0.96835,2.64299,0.006799,0.006799,0.006799
99,151432,0.40561,0.45253,0.96994,2.63965,0.006766,0.006766,0.006766
100,152976,0.39719,0.46044,0.96361,2.63757,0.006733,0.006733,0.006733
101,154508,0.399,0.45886,0.96677,2.62856,0.0067,0.0067,0.0067
102,156047,0.41443,0.46994,0.96677,2.63037,0.006667,0.006667,0.006667
103,157589,0.40531,0.45886,0.96044,2.64485,0.006634,0.006634,0.006634
104,159128,0.4293,0.44937,0.9731,2.64154,0.006601,0.006601,0.006601
105,160654,0.41757,0.46203,0.96519,2.64023,0.006568,0.006568,0.006568
106,162196,0.41977,0.45411,0.96677,2.63793,0.006535,0.006535,0.006535
107,163734,0.41153,0.44146,0.97152,2.64495,0.006502,0.006502,0.006502
108,165273,0.40938,0.45095,0.96994,2.63737,0.006469,0.006469,0.006469
109,166798,0.39863,0.45886,0.96361,2.63481,0.006436,0.006436,0.006436
110,168329,0.41211,0.45411,0.9731,2.6374,0.006403,0.006403,0.006403
111,169860,0.40763,0.44778,0.97152,2.6473,0.00637,0.00637,0.00637
112,171394,0.40426,0.45253,0.95886,2.64328,0.006337,0.006337,0.006337
113,172918,0.38286,0.43354,0.96361,2.65167,0.006304,0.006304,0.006304
114,174457,0.39783,0.43513,0.96203,2.64997,0.006271,0.006271,0.006271
115,176000,0.37355,0.43196,0.96519,2.65048,0.006238,0.006238,0.006238
116,177545,0.38651,0.44146,0.9731,2.65014,0.006205,0.006205,0.006205
117,179066,0.39264,0.42247,0.96361,2.65347,0.006172,0.006172,0.006172
