epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,126.98,1.28908,0.87781,1.22664,0.9125,0.91525,0.95949,0.63847,1.15479,0.79151,1.27979,0.00183764,0.00183764,0.00183764
43,129.929,1.30693,0.85947,1.23932,0.93863,0.94915,0.98712,0.62254,1.26356,0.80511,1.33514,0.00183368,0.00183368,0.00183368
44,132.858,1.26063,0.8668,1.21538,0.95092,0.95763,0.98552,0.63043,1.2368,0.8021,1.30328,0.00182972,0.00182972,0.00182972
45,135.812,1.25974,0.84761,1.2184,0.9452,0.97458,0.99036,0.62757,1.29153,0.75624,1.37508,0.00182576,0.00182576,0.00182576
46,138.837,1.26531,0.82862,1.19145,0.99119,0.95314,0.98922,0.6516,1.2144,0.75522,1.32254,0.0018218,0.0018218,0.0018218
47,141.792,1.26185,0.87822,1.22454,0.94757,0.9661,0.98965,0.63578,1.22827,0.83901,1.33679,0.00181784,0.00181784,0.00181784
48,144.651,1.32672,0.87594,1.24962,0.94569,0.9661,0.98174,0.61886,1.22371,0.75965,1.36845,0.00181388,0.00181388,0.00181388
49,147.641,1.2723,0.82708,1.23871,0.93615,0.94915,0.98163,0.66541,1.1572,0.71661,1.29157,0.00180992,0.00180992,0.00180992
50,150.541,1.22486,0.80796,1.20014,0.94994,0.92373,0.97419,0.60678,1.24217,0.81145,1.37939,0.00180596,0.00180596,0.00180596
51,153.442,1.26798,0.84684,1.22311,0.95016,0.96948,0.98858,0.64714,1.16448,0.7299,1.3158,0.001802,0.001802,0.001802
52,156.375,1.19995,0.79037,1.22151,0.96546,0.9322,0.98549,0.63923,1.20407,0.74185,1.32913,0.00179804,0.00179804,0.00179804
53,159.265,1.21917,0.80054,1.17886,0.94273,0.97643,0.98898,0.62568,1.21795,0.76685,1.34096,0.00179408,0.00179408,0.00179408
54,162.172,1.21711,0.80912,1.19984,0.91966,0.97005,0.97237,0.65456,1.16367,0.72712,1.28381,0.00179012,0.00179012,0.00179012
55,165.328,1.2731,0.81115,1.21694,0.93434,0.96471,0.97817,0.64014,1.13898,0.74611,1.26561,0.00178616,0.00178616,0.00178616
56,168.325,1.22469,0.84194,1.18707,0.91671,0.9327,0.97401,0.60562,1.23324,0.7889,1.31139,0.0017822,0.0017822,0.0017822
57,171.269,1.23309,0.7848,1.17066,0.94432,0.92373,0.9785,0.60022,1.31328,0.81841,1.36448,0.00177824,0.00177824,0.00177824
58,174.243,1.23298,0.82874,1.193,0.96523,0.94915,0.98839,0.67318,1.17404,0.72709,1.28542,0.00177428,0.00177428,0.00177428
59,177.162,1.16703,0.77122,1.16551,0.92916,0.94915,0.98345,0.66113,1.14293,0.73228,1.27443,0.00177032,0.00177032,0.00177032
60,180.084,1.2053,0.77705,1.20011,0.97419,0.95946,0.99066,0.66097,1.1276,0.72833,1.29024,0.00176636,0.00176636,0.00176636
61,182.992,1.22984,0.77925,1.18446,0.97396,0.9661,0.9932,0.67566,1.10973,0.73371,1.26653,0.0017624,0.0017624,0.0017624
62,185.788,1.18334,0.74902,1.17493,0.98177,0.97458,0.99065,0.67819,1.09832,0.6995,1.26073,0.00175844,0.00175844,0.00175844
63,188.8,1.16854,0.73645,1.17982,0.92049,0.97458,0.97366,0.64425,1.13221,0.73173,1.28523,0.00175448,0.00175448,0.00175448
64,191.867,1.24358,0.75629,1.19094,0.95724,0.94867,0.98066,0.62534,1.20502,0.71826,1.3426,0.00175052,0.00175052,0.00175052
65,194.83,1.15267,0.7387,1.16032,0.95699,0.94275,0.98735,0.6428,1.125,0.73561,1.27627,0.00174656,0.00174656,0.00174656
66,197.759,1.19466,0.74391,1.16799,0.95321,0.95763,0.98636,0.64646,1.19676,0.73948,1.31332,0.0017426,0.0017426,0.0017426
67,200.714,1.18713,0.74243,1.15121,0.96686,0.9661,0.99126,0.66927,1.07488,0.73302,1.24485,0.00173864,0.00173864,0.00173864
68,203.632,1.19223,0.80895,1.17901,0.92616,0.95763,0.98056,0.63206,1.20858,0.78892,1.32026,0.00173468,0.00173468,0.00173468
69,206.616,1.17468,0.77045,1.14431,0.95682,0.93884,0.98689,0.64649,1.18859,0.77859,1.28377,0.00173072,0.00173072,0.00173072
70,209.598,1.11306,0.71262,1.13301,0.97884,0.94915,0.9896,0.70927,1.04991,0.67904,1.21231,0.00172676,0.00172676,0.00172676
71,212.587,1.16649,0.72862,1.14246,0.95759,0.95685,0.98388,0.67484,1.14025,0.68453,1.24775,0.0017228,0.0017228,0.0017228
72,215.533,1.18959,0.75172,1.16278,0.98223,0.94068,0.98381,0.6747,1.12474,0.67954,1.26909,0.00171884,0.00171884,0.00171884
73,218.506,1.19123,0.77368,1.16507,0.99124,0.95886,0.98803,0.67644,1.09615,0.65933,1.26219,0.00171488,0.00171488,0.00171488
74,221.697,1.1925,0.74943,1.187,0.95743,0.97458,0.98809,0.66739,1.12623,0.68752,1.25856,0.00171092,0.00171092,0.00171092
75,224.748,1.16777,0.74614,1.16579,0.9702,0.95763,0.98899,0.6453,1.14934,0.70102,1.301,0.00170696,0.00170696,0.00170696
76,227.819,1.16674,0.73953,1.15396,0.93443,0.96621,0.98873,0.65518,1.17092,0.69136,1.26358,0.001703,0.001703,0.001703
77,230.724,1.13298,0.72379,1.14507,0.95,0.9322,0.98387,0.65288,1.14835,0.72365,1.26661,0.00169904,0.00169904,0.00169904
78,233.654,1.13471,0.70736,1.1262,0.966,0.96316,0.98608,0.66782,1.15274,0.66199,1.31619,0.00169508,0.00169508,0.00169508
79,236.674,1.0969,0.67802,1.11748,0.97057,0.97458,0.98372,0.68422,1.09129,0.67066,1.22715,0.00169112,0.00169112,0.00169112
80,239.709,1.10318,0.71788,1.10412,0.94556,0.97458,0.99015,0.65249,1.13188,0.72183,1.25088,0.00168716,0.00168716,0.00168716
81,242.714,1.12002,0.73578,1.12526,0.96508,0.97458,0.9921,0.66619,1.14851,0.68995,1.23497,0.0016832,0.0016832,0.0016832
82,245.759,1.13971,0.71703,1.12709,0.98069,0.9661,0.99113,0.68954,1.11035,0.6426,1.24869,0.00167924,0.00167924,0.00167924
83,248.941,1.12895,0.72425,1.14666,0.97424,0.9617,0.99289,0.69124,1.07127,0.6569,1.22479,0.00167528,0.00167528,0.00167528
84,252.01,1.10638,0.71304,1.15524,0.9495,0.95604,0.98841,0.69607,1.09975,0.68835,1.25263,0.00167132,0.00167132,0.00167132
85,254.804,1.09989,0.69568,1.135,0.96588,0.98305,0.99148,0.69049,1.11292,0.66798,1.24258,0.00166736,0.00166736,0.00166736
86,257.829,1.14165,0.73069,1.14019,0.95598,0.97458,0.99006,0.69912,1.04785,0.67984,1.22491,0.0016634,0.0016634,0.0016634
87,260.827,1.13094,0.73635,1.1542,0.96236,0.9661,0.98652,0.68367,1.06043,0.71167,1.2167,0.00165944,0.00165944,0.00165944
88,263.828,1.08515,0.69157,1.12163,0.99128,0.96334,0.98742,0.70324,1.06405,0.66301,1.20664,0.00165548,0.00165548,0.00165548
89,266.846,1.10359,0.71521,1.13849,0.92832,0.9661,0.97561,0.68962,1.09172,0.69987,1.21204,0.00165152,0.00165152,0.00165152
90,269.722,1.13047,0.74069,1.13648,0.90499,0.92373,0.97234,0.63096,1.23452,0.74599,1.30405,0.00164756,0.00164756,0.00164756
91,272.619,1.14242,0.71461,1.16174,0.95122,0.95763,0.98667,0.68749,1.04942,0.65833,1.21356,0.0016436,0.0016436,0.0016436
92,275.846,1.13491,0.74985,1.16742,0.94665,0.9661,0.98815,0.64067,1.24082,0.71565,1.30586,0.00163964,0.00163964,0.00163964
93,278.792,1.14678,0.76853,1.16929,0.96168,0.97458,0.99134,0.67282,1.11453,0.67644,1.25248,0.00163568,0.00163568,0.00163568
94,281.769,1.11765,0.72089,1.13849,0.9654,0.97458,0.99309,0.70657,1.0252,0.63913,1.21154,0.00163172,0.00163172,0.00163172
95,284.755,1.08444,0.68229,1.10627,0.96596,0.96196,0.99248,0.69863,1.09785,0.67147,1.24913,0.00162776,0.00162776,0.00162776
96,287.603,1.07068,0.69607,1.13449,0.89821,0.97216,0.97543,0.67868,1.11115,0.68946,1.27069,0.0016238,0.0016238,0.0016238
97,290.617,1.17933,0.71975,1.16905,0.96774,0.94068,0.98662,0.65289,1.22613,0.69053,1.30895,0.00161984,0.00161984,0.00161984
98,293.585,1.09228,0.70294,1.14565,0.9655,0.98305,0.99224,0.70516,1.0633,0.61898,1.22868,0.00161588,0.00161588,0.00161588
99,296.58,1.12337,0.73845,1.13026,0.96622,0.96976,0.99375,0.69145,1.14601,0.65494,1.27582,0.00161192,0.00161192,0.00161192
100,299.53,1.10092,0.69713,1.11431,0.98279,0.96781,0.99337,0.69574,1.0969,0.65001,1.22688,0.00160796,0.00160796,0.00160796
101,302.725,1.11152,0.6821,1.15471,0.98706,0.98305,0.99227,0.6953,1.07355,0.62553,1.22803,0.001604,0.001604,0.001604
102,305.716,1.03921,0.66211,1.11281,0.97928,0.98305,0.99251,0.69916,1.10284,0.62401,1.23042,0.00160004,0.00160004,0.00160004
103,308.818,1.07344,0.67447,1.11737,0.99125,0.96023,0.98914,0.71557,1.06708,0.64973,1.22082,0.00159608,0.00159608,0.00159608
104,311.88,1.07051,0.67764,1.08951,0.96187,0.98305,0.99198,0.71103,1.04471,0.6319,1.20629,0.00159212,0.00159212,0.00159212
105,314.843,1.09631,0.68977,1.12654,0.95029,0.98305,0.98856,0.70639,1.03005,0.62107,1.19758,0.00158816,0.00158816,0.00158816
106,317.856,1.10254,0.68589,1.10928,0.99136,0.97232,0.9921,0.71031,1.06652,0.62922,1.22508,0.0015842,0.0015842,0.0015842
107,320.814,1.05947,0.68092,1.1369,0.98279,0.96785,0.99018,0.67958,1.1573,0.63426,1.29008,0.00158024,0.00158024,0.00158024
108,323.933,1.07759,0.67076,1.11606,0.94935,0.97458,0.99006,0.70766,1.06708,0.60747,1.23613,0.00157628,0.00157628,0.00157628
109,326.955,1.08185,0.67384,1.13665,0.96567,0.9661,0.99005,0.70101,1.08833,0.63137,1.24557,0.00157232,0.00157232,0.00157232
110,330.06,1.09851,0.69558,1.12123,0.95016,0.96933,0.9823,0.69268,1.08936,0.63586,1.25804,0.00156836,0.00156836,0.00156836
111,333.032,1.05071,0.64968,1.0789,0.98173,0.99153,0.99208,0.70736,1.09159,0.62798,1.24534,0.0015644,0.0015644,0.0015644
112,335.987,1.08985,0.67614,1.10774,0.96828,0.97458,0.9898,0.70073,1.09804,0.6221,1.23206,0.00156044,0.00156044,0.00156044
113,338.811,1.04894,0.67159,1.09867,0.97457,0.97443,0.99037,0.71224,1.04719,0.61066,1.20781,0.00155648,0.00155648,0.00155648
114,341.743,1.05231,0.69775,1.12675,0.96832,0.97458,0.99168,0.72123,1.06233,0.60602,1.22667,0.00155252,0.00155252,0.00155252
115,344.64,1.04455,0.65396,1.10266,0.9803,0.98305,0.99432,0.70898,1.09954,0.59824,1.23947,0.00154856,0.00154856,0.00154856
116,348.217,1.05573,0.6662,1.10291,0.99602,0.97458,0.99442,0.71941,1.04055,0.59677,1.23195,0.0015446,0.0015446,0.0015446
117,351.247,1.06665,0.69035,1.12773,0.96574,0.98305,0.99408,0.69271,1.0716,0.62581,1.2504,0.00154064,0.00154064,0.00154064
118,354.347,1.05185,0.66329,1.10565,0.95886,0.98765,0.9906,0.70033,1.06654,0.61229,1.23861,0.00153668,0.00153668,0.00153668
119,357.414,1.0331,0.67368,1.11145,0.97259,0.98305,0.99296,0.70296,1.06707,0.61568,1.20928,0.00153272,0.00153272,0.00153272
120,360.771,1.06473,0.65572,1.1048,0.95811,0.99153,0.99254,0.70748,1.07165,0.617,1.21173,0.00152876,0.00152876,0.00152876
121,363.799,1.02699,0.64307,1.08085,0.95028,0.97193,0.991,0.69252,1.07469,0.62384,1.20604,0.0015248,0.0015248,0.0015248
122,366.939,1.02227,0.66411,1.08853,0.94178,0.99153,0.99044,0.71163,1.02383,0.62822,1.19266,0.00152084,0.00152084,0.00152084
123,369.993,1.03908,0.65927,1.08688,0.94439,0.97458,0.99047,0.68087,1.1068,0.64408,1.26824,0.00151688,0.00151688,0.00151688
124,373.115,1.03571,0.63377,1.0878,0.96597,0.96228,0.98908,0.69463,1.08982,0.63296,1.24876,0.00151292,0.00151292,0.00151292
125,376.174,1.02174,0.64267,1.09831,0.96383,0.97458,0.9892,0.68934,1.10677,0.63328,1.28267,0.00150896,0.00150896,0.00150896
126,379.242,1.00047,0.64528,1.09316,0.96618,0.96832,0.99171,0.72802,1.02964,0.59735,1.22278,0.001505,0.001505,0.001505
127,382.182,0.9863,0.62556,1.06119,0.94222,0.99153,0.99162,0.71962,1.03146,0.6028,1.19676,0.00150104,0.00150104,0.00150104
128,385.507,0.99858,0.62461,1.07059,0.95824,0.9724,0.9911,0.74829,0.98083,0.58611,1.17931,0.00149708,0.00149708,0.00149708
129,388.491,0.99993,0.63113,1.08074,0.96618,0.98305,0.99293,0.72727,1.00678,0.58041,1.20631,0.00149312,0.00149312,0.00149312
130,391.63,0.99748,0.61635,1.0728,0.98614,0.9661,0.99344,0.73349,1.00802,0.5796,1.21264,0.00148916,0.00148916,0.00148916
131,394.698,1.01458,0.64635,1.09064,0.97352,0.98305,0.99365,0.70854,1.04152,0.62099,1.24203,0.0014852,0.0014852,0.0014852
132,397.789,1.03736,0.65405,1.10068,0.99387,0.95763,0.99285,0.69862,1.05315,0.62024,1.2465,0.00148124,0.00148124,0.00148124
133,400.825,1.02593,0.6399,1.09621,0.9739,0.9661,0.99176,0.69561,1.05243,0.59865,1.23071,0.00147728,0.00147728,0.00147728
134,403.952,1.03282,0.65415,1.09644,0.97513,0.99702,0.99399,0.72178,1.02845,0.59049,1.21508,0.00147332,0.00147332,0.00147332
135,406.931,1.02185,0.67322,1.10904,0.9838,0.98305,0.9945,0.72197,1.06409,0.59022,1.23064,0.00146936,0.00146936,0.00146936
136,410.084,1.00582,0.62747,1.07879,0.98366,0.97458,0.99424,0.70859,1.04235,0.5856,1.22257,0.0014654,0.0014654,0.0014654
137,413.357,1.02432,0.65957,1.10061,0.98312,0.98715,0.99458,0.71985,1.04447,0.58353,1.21143,0.00146144,0.00146144,0.00146144
138,416.6,1.04418,0.68422,1.09375,0.97366,0.99153,0.99441,0.73,0.98879,0.58013,1.19051,0.00145748,0.00145748,0.00145748
139,419.66,0.99113,0.63703,1.05735,0.95741,0.97458,0.99235,0.71984,1.00555,0.60574,1.19703,0.00145352,0.00145352,0.00145352
140,422.669,1.03036,0.63662,1.10285,0.98078,0.9661,0.99298,0.73332,1.0029,0.56681,1.18342,0.00144956,0.00144956,0.00144956
141,425.639,1.01277,0.64381,1.07023,0.96384,0.97458,0.99145,0.70593,1.03832,0.59638,1.20177,0.0014456,0.0014456,0.0014456
142,428.613,1.00422,0.65205,1.07252,0.94231,0.99153,0.99087,0.68822,1.10108,0.61631,1.22285,0.00144164,0.00144164,0.00144164
143,431.632,1.00636,0.61776,1.075,0.95779,0.98305,0.99333,0.72461,1.01021,0.5905,1.17417,0.00143768,0.00143768,0.00143768
144,434.716,1.02352,0.65115,1.07388,0.9666,0.9811,0.99286,0.71154,1.03947,0.59642,1.20641,0.00143372,0.00143372,0.00143372
145,437.83,1.00546,0.62213,1.08499,0.97277,0.99153,0.99458,0.72004,1.0082,0.59023,1.19594,0.00142976,0.00142976,0.00142976
