epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.15804,2.60729,4.53663,2.03455,0.00435,0.65254,0.00489,0.00167,2.07137,4.07523,1.67058,0.00028,0.00028,0.00028
2,7.01859,2.14035,3.42673,1.61039,0.00497,0.74576,0.0405,0.01346,1.74966,4.04974,1.61426,0.000579043,0.000579043,0.000579043
3,9.93905,1.98998,2.63639,1.5901,0.00452,0.67797,0.1055,0.02903,1.73642,3.62658,1.58557,0.000877096,0.000877096,0.000877096
4,12.9322,1.84897,2.35993,1.51392,0.0048,0.72034,0.34301,0.1334,1.66376,3.50457,1.49822,0.00117416,0.00117416,0.00117416
5,15.7663,1.93787,2.26597,1.59162,0.12183,0.261,0.10458,0.03954,1.73408,3.20743,1.54356,0.00147023,0.00147023,0.00147023
6,18.6323,1.79846,1.95041,1.45258,0.36949,0.24834,0.27736,0.10613,1.92759,2.8966,1.75043,0.00176531,0.00176531,0.00176531
7,21.5724,1.79324,1.82313,1.47104,0.5776,0.60259,0.64973,0.29559,1.70204,2.27626,1.51087,0.0019802,0.0019802,0.0019802
8,24.4744,1.84125,1.8256,1.4823,0.57839,0.62712,0.67982,0.31003,1.73398,2.48577,1.59489,0.0019769,0.0019769,0.0019769
9,27.1144,1.79176,1.72468,1.42939,0.52638,0.47094,0.48069,0.20395,1.77977,2.52861,1.69903,0.0019736,0.0019736,0.0019736
10,30.1612,1.73049,1.68684,1.48638,0.63691,0.55085,0.63613,0.26064,1.81772,2.03067,1.69046,0.0019703,0.0019703,0.0019703
11,32.8392,1.68009,1.48862,1.38069,0.69987,0.64407,0.73966,0.33418,1.61707,1.8549,1.59801,0.001967,0.001967,0.001967
12,35.671,1.59334,1.44243,1.35835,0.37726,0.3594,0.29383,0.10514,2.2481,2.41879,1.98214,0.0019637,0.0019637,0.0019637
13,38.524,1.6195,1.40741,1.34761,0.76994,0.81356,0.84393,0.47632,1.47261,1.3662,1.37258,0.0019604,0.0019604,0.0019604
14,41.3526,1.55392,1.32903,1.32492,0.86632,0.83051,0.90614,0.47924,1.43297,1.33292,1.37702,0.0019571,0.0019571,0.0019571
15,44.0153,1.58536,1.30272,1.32342,0.72113,0.77966,0.83987,0.45012,1.49238,1.28892,1.39615,0.0019538,0.0019538,0.0019538
16,46.7809,1.53938,1.2981,1.319,0.80105,0.81894,0.87162,0.47313,1.36973,1.53831,1.40626,0.0019505,0.0019505,0.0019505
17,49.6066,1.53352,1.31001,1.34383,0.82234,0.82379,0.90108,0.48096,1.45405,1.25688,1.42806,0.0019472,0.0019472,0.0019472
18,52.3265,1.56378,1.26178,1.28912,0.86256,0.79778,0.91422,0.5126,1.46793,1.0602,1.44394,0.0019439,0.0019439,0.0019439
19,54.9435,1.55009,1.1742,1.32447,0.818,0.88136,0.91506,0.49529,1.38685,1.13371,1.43985,0.0019406,0.0019406,0.0019406
20,57.845,1.49176,1.16613,1.30886,0.84347,0.91335,0.93407,0.57357,1.2715,1.00553,1.31087,0.0019373,0.0019373,0.0019373
21,60.602,1.4421,1.09577,1.26217,0.89,0.9322,0.95925,0.55279,1.29609,0.99717,1.29235,0.001934,0.001934,0.001934
22,63.3067,1.44383,1.08286,1.30164,0.87634,0.87288,0.94363,0.59856,1.24,1.00419,1.26834,0.0019307,0.0019307,0.0019307
23,65.8854,1.46583,1.11307,1.31793,0.85722,0.86494,0.94463,0.52152,1.35116,1.00917,1.40719,0.0019274,0.0019274,0.0019274
24,68.6491,1.43992,1.02867,1.27994,0.79956,0.83051,0.89988,0.43921,1.64705,1.08598,1.65991,0.0019241,0.0019241,0.0019241
25,71.405,1.48049,1.09399,1.33107,0.86695,0.88355,0.94706,0.57122,1.31162,0.96028,1.36416,0.0019208,0.0019208,0.0019208
26,73.9989,1.41352,1.00315,1.27372,0.87023,0.89831,0.937,0.57253,1.34238,0.94078,1.32296,0.0019175,0.0019175,0.0019175
27,76.7327,1.36156,0.9885,1.25696,0.8068,0.84746,0.91027,0.53427,1.35343,0.9945,1.27897,0.0019142,0.0019142,0.0019142
28,79.5276,1.33535,0.96472,1.2214,0.88894,0.88183,0.953,0.59002,1.23668,0.93859,1.25497,0.0019109,0.0019109,0.0019109
29,82.3716,1.3957,1.00423,1.27108,0.80482,0.86441,0.91011,0.49417,1.42308,1.08612,1.36986,0.0019076,0.0019076,0.0019076
30,84.9986,1.39858,0.95966,1.24461,0.84911,0.90609,0.94821,0.59581,1.29671,0.90019,1.29129,0.0019043,0.0019043,0.0019043
31,87.8177,1.40127,0.95954,1.25398,0.90054,0.92078,0.9536,0.56313,1.2966,1.01213,1.33758,0.001901,0.001901,0.001901
32,90.5517,1.3595,0.93835,1.22542,0.92701,0.90678,0.96339,0.60563,1.16712,0.90458,1.23767,0.0018977,0.0018977,0.0018977
33,93.3287,1.35256,0.92214,1.20735,0.84277,0.92373,0.9462,0.54497,1.3246,1.04287,1.33103,0.0018944,0.0018944,0.0018944
