epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54525,2.64695,4.55217,2.06773,0.00401,0.60169,0.00397,0.00153,1.9434,4.08868,1.69107,0.00028,0.00028,0.00028
2,7.60916,2.13501,2.98767,1.60681,0.00599,0.89831,0.00968,0.00375,1.80415,3.798,1.534,0.000578359,0.000578359,0.000578359
3,10.6412,1.95098,2.48946,1.5286,0.00215,0.32203,0.00167,0.00039,1.84125,3.68049,1.52545,0.000875022,0.000875022,0.000875022
4,13.5622,1.84931,2.18642,1.48265,0.20006,0.42373,0.2981,0.12117,1.68479,3.37081,1.40776,0.00116999,0.00116999,0.00116999
