epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6585.51,0.47161,0.50326,0.52729,1.07359,0.99583,0.9954,0.995,0.81544,0.99583,0.9954,0.995,0.82924,0.71501,0.38681,0.78697,1.13033,0.000891125,0.000891125,0.000891125
31,6799.65,0.43958,0.53221,0.51672,1.04703,0.99435,0.99576,0.99492,0.82228,0.99435,0.99576,0.99492,0.81245,0.72883,0.34734,0.7271,1.12193,0.00087875,0.00087875,0.00087875
32,7017.37,0.4343,0.51732,0.49393,1.03536,0.98416,1,0.995,0.82859,0.97548,0.99153,0.98969,0.81398,0.72954,0.48009,0.75902,1.18005,0.000866375,0.000866375,0.000866375
33,7232.84,0.44659,0.50381,0.48846,1.04267,0.98532,0.99565,0.99442,0.84029,0.96858,0.97881,0.98022,0.78148,0.67657,0.45332,0.74161,1.17263,0.000854,0.000854,0.000854
34,7450.11,0.44919,0.47269,0.49856,1.05524,0.96411,0.99092,0.995,0.83518,0.95998,0.98668,0.9893,0.82104,0.68686,0.40215,0.77443,1.14927,0.000841625,0.000841625,0.000841625
35,7665.71,0.46273,0.52089,0.49843,1.05836,0.99196,0.99576,0.99492,0.8433,0.99196,0.99576,0.99492,0.82903,0.66539,0.35794,0.69508,1.15802,0.00082925,0.00082925,0.00082925
36,7882.82,0.45822,0.51996,0.48731,1.06676,0.99729,0.99955,0.995,0.78488,0.99729,0.99955,0.995,0.82416,0.85211,0.37208,0.72366,1.24038,0.000816875,0.000816875,0.000816875
37,8099.53,0.43623,0.51077,0.46515,1.03613,0.99782,1,0.995,0.83489,0.99782,1,0.995,0.8379,0.75162,0.37541,0.65815,1.14207,0.0008045,0.0008045,0.0008045
38,8317.18,0.41194,0.49131,0.45527,1.03851,0.98399,0.99715,0.99283,0.8394,0.98399,0.99715,0.99283,0.84833,0.654,0.38506,0.70085,1.14779,0.000792125,0.000792125,0.000792125
39,8531.79,0.43229,0.47567,0.46794,1.04219,0.96114,0.98358,0.99021,0.81524,0.9528,0.9751,0.97964,0.8124,0.72851,0.36211,0.67594,1.2493,0.00077975,0.00077975,0.00077975
40,8747.56,0.43858,0.48446,0.47244,1.03536,0.99156,0.9957,0.995,0.85625,0.99156,0.9957,0.995,0.84034,0.64716,0.35712,0.63852,1.07992,0.000767375,0.000767375,0.000767375
41,8965.24,0.41647,0.48352,0.44457,1.0302,0.98196,0.97881,0.99307,0.83798,0.98196,0.97881,0.99307,0.83587,0.65883,0.34741,0.61453,1.12625,0.000755,0.000755,0.000755
42,9183.57,0.41852,0.47691,0.43255,1.01665,0.99247,0.99153,0.99488,0.83939,0.99247,0.99153,0.99488,0.82226,0.70821,0.36634,0.60418,1.0381,0.000742625,0.000742625,0.000742625
43,9402.49,0.42454,0.5045,0.44056,1.02147,0.98356,1,0.995,0.83806,0.98356,1,0.995,0.8203,0.68019,0.34582,0.61002,1.0464,0.00073025,0.00073025,0.00073025
44,9619.83,0.42603,0.48629,0.4319,1.01987,0.94629,0.9889,0.97972,0.83772,0.93775,0.98042,0.97126,0.80641,0.65851,0.39188,0.60994,1.03724,0.000717875,0.000717875,0.000717875
45,9835.49,0.4074,0.51903,0.43147,1.01184,0.9712,0.99189,0.99475,0.84016,0.96244,0.98342,0.98914,0.80866,0.69127,0.37041,0.63434,1.0651,0.0007055,0.0007055,0.0007055
